,route_id,census_tract,PovertyRate,MedianFamilyIncome,TractHUNV,TractSNAP
5435,14740,13089023601,19.3,51176,58,167
5443,14740,13089023602,19.5,45854,109,188
5445,14740,13089023603,27.0,30870,149,420
5474,14740,13089023423,9.5,68104,148,521
5529,14784,13121001900,31.7,67500,150,93
5530,14784,13121001800,39.5,15905,908,622
5536,14827,13121001500,13.1,121622,431,99
5541,14784,13121001600,9.2,81184,73,34
5542,14841,13121001600,9.2,81184,73,34
5545,14784,13121003000,4.3,195000,40,20
5549,14784,13089020500,13.9,50652,247,163
5554,14784,13089020400,5.9,123787,51,7
5561,14841,13089020400,5.9,123787,51,7
5570,14827,13121001600,9.2,81184,73,34
5580,14784,13121001201,13.1,66672,288,107
5584,14756,13121008202,34.6,26125,173,281
5586,14756,13121008602,45.9,24545,27,114
5587,14756,13121008201,30.5,39325,583,810
5594,14756,13121008601,44.2,21964,517,636
5617,14756,13121000700,33.0,89038,35,54
5618,14756,13121002300,27.9,24000,196,223
5620,14756,13121011800,71.4,17702,395,227
5688,14841,13121009402,14.6,91739,280,128
5693,14841,13121009200,28.1,93478,407,393
5698,14841,13089021502,23.3,119107,58,72
5707,14841,13089021504,26.2,86838,174,18
5708,14827,13089021504,26.2,86838,174,18
5709,14841,13089022402,26.2,100529,258,0
5710,14827,13089022402,26.2,100529,258,0
5726,14841,13089022403,6.2,187868,72,10
5729,14841,13089022401,11.7,113021,13,0
5736,14841,13089020200,8.6,145625,46,12
5740,14841,13121001500,13.1,121622,431,99
5871,14827,13089021502,23.3,119107,58,72
5873,14827,13089020100,3.5,171964,0,2
5878,14827,13121000100,8.1,215694,13,64
5885,14827,13121000200,7.0,161346,45,84
5902,14827,13121001700,31.0,39205,383,356
5911,14827,13121001800,39.5,15905,908,622
5915,14827,13121001900,31.7,67500,150,93
5971,14864,13121001202,8.4,139265,299,87
5972,14864,13121001001,16.3,172639,65,4
5975,14864,13121000600,42.0,63406,237,17
5983,14864,13121008902,20.6,99048,230,124
5990,14864,13121009000,3.9,155260,7,37
5997,14864,13121009801,4.2,194628,174,38
6006,14864,13121009802,5.8,203403,46,50
6010,14864,13067030339,8.0,68686,128,40
