,route_id,trip_headsign,stop_name
916,14764,,CASCADE AVE SW@ALLEGHENY ST SW
917,14764,,CASCADE AVE SW @ DONNELLY AVE SW
918,14764,,CASCADE AVE @ RALPH D ABERNATHY BLVD
919,14764,,RALPH D ABERNATHY BLVD SW @ HOPKINS ST SW
920,14764,,RALPH D ABERNATHY BLVD SW @ ATWOOD ST SW
921,14764,,RALPH D ABERNATHY BLVD @ QUEEN ST SW
922,14764,,RALPH DAVID ABERNATH BLVD@LAWTON S
923,14764,,RALPH DAVID ABERNATH BLVD@PEEPLES
924,14764,,RALPH DAVID ABERNATH BLVD SW@ASHBY 
925,14764,,RALPH DAVID ABERNATH BLVD SW@EVANS
1056,14760,,FOREST PKY @ ASH ST
1058,14760,,FOREST PKY @ MAPLE DR
1060,14760,,FOREST PKWY @ BARTLETT DR
1113,14804,,WASHINGTON RD @ EAST POINT ST
1115,14804,,WASHINGTON RD @ CHURCH ST
1117,14804,,WASHINGTON RD @ CHENEY ST
1119,14804,,WASHINGTON RD @ JONES ST
1121,14804,,WASHINGTON RD @ PEARL ST
1123,14804,,WASHINGTON RD @ EIGHTH ST
1125,14804,,WASHINGTON RD @ CLOVERHURST DR
1127,14804,,WASHINGTON RD @ DELOWE DR
1129,14804,,WASHINGTON RD @ KENTUCKY CT
1131,14804,,WASHINGTON RD @ 3095
1133,14804,,WASHINGTON RD @ JACKSON DR
1135,14804,,WASHINGTON RD @ STONE RD
1137,14804,,WASHINGTON RD @ ABBEY RD
1138,14804,,WASHINGTON RD @ W RUGBY AVE
1139,14804,,WASHINGTON RD @ DODSON DR CONN
1140,14804,,WASHINGTON RD @ CHARLES DR
1141,14804,,WASHINGTON RD@REDWINE RD
1143,14804,,WASHINGTON RD @ W POTOMAC DR
1145,14804,,WASHINGTON RD @ ARLINGTON RD
1147,14804,,WASHINGTON RD @ VICTORIA DR
1149,14804,,WASHINGTON RD @ LAKEMONT DR
1151,14844,,WASHINGTON RD @ LAKEMONT DR
1152,14804,,WASHINGTON RD @ LAUREL RIDGE DR
1154,14804,,WASHINGTON RD @ CANDLEWOOD DR
1156,14804,,WASHINGTON RD @ CHESTNUT DR
1158,14804,,WASHINGTON RD@CARMEL DR
1160,14804,,WASHINGTON RD @ SPANISH TRL
1162,14804,,WASHINGTON RD @ 4555
1163,14804,,WASHINGTON RD @ HATHCOCK RD
1164,14804,,WASHINGTON RD@SPRING ST
1165,14804,,WASHINGTON RD @ ROOSEVELT HWY
1166,14804,,ROOSEVELT HWY @ 3199
1167,14804,,ROOSEVELT HWY @ MILLER RD
1168,14804,,BUFFINGTON RD @ OLD FAIRBURN RD
1169,14804,,BUFFINGTON RD @ BUFFINGTON CENTER
1170,14804,,BUFFINGTON RD @ NATURALLY FRESH BLVD
1171,14804,,BUFFINGTON RD @ 5355
1172,14804,,BUFFINGTON RD @ AUGUSTA ST
1173,14804,,BUFFINGTON RD @ SABLE RUN RD
1174,14804,,BUFFINGTON RD @ SABLE CHASE LN
1175,14804,,BUFFINGTON RD @ ROYAL SOUTH PKWY
1176,14804,,BUFFINGTON RD @ OLD BILL COOK RD
1177,14804,,BUFFINGTON RD @ BIRDSEYE TRL
1178,14804,,BUFFINGTON RD @ 6180
